,Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
24,25-04-2016 00:00,25-04-2016 00:00,66.9,54,0,3463,5978,6845,4564,20850
25,26-04-2016 00:00,26-04-2016 00:00,60.1,46.9,0.24,1997,3520,4559,2929,13005
26,27-04-2016 00:00,27-04-2016 00:00,62.1,46.9,0,3343,5606,6577,4388,19914
27,28-04-2016 00:00,28-04-2016 00:00,57.9,48,0,2486,4152,5336,3657,15631
28,29-04-2016 00:00,29-04-2016 00:00,57,46.9,0.05,2375,4178,5053,3348,14954
29,30-04-2016 00:00,30-04-2016 00:00,64,48,0,3199,4952,5675,3606,17432
30,01-04-2016 00:00,01-04-2016 00:00,78.1,66,0.01,1704,3126,4115,2552,11497
31,02-04-2016 00:00,02-04-2016 00:00,55,48.9,0.15,827,1646,2565,1884,6922
32,03-04-2016 00:00,03-04-2016 00:00,39.9,34,0.09,526,1232,1695,1306,4759
33,04-04-2016 00:00,04-04-2016 00:00,44.1,33.1,0.47 (S),521,1067,1440,1307,4335
34,05-04-2016 00:00,05-04-2016 00:00,42.1,26.1,0,1416,2617,3081,2357,9471
35,06-04-2016 00:00,06-04-2016 00:00,45,30,0,1885,3329,3856,2849,11919
36,07-04-2016 00:00,07-04-2016 00:00,57,53.1,0.09,1276,2581,3282,2457,9596
37,08-04-2016 00:00,08-04-2016 00:00,46.9,44.1,0.01,1982,3455,4113,3194,12744
38,09-04-2016 00:00,09-04-2016 00:00,43,37.9,0.09,504,997,1507,1502,4510
39,10-04-2016 00:00,10-04-2016 00:00,48.9,30.9,0,1447,2387,3132,2160,9126
40,11-04-2016 00:00,11-04-2016 00:00,62.1,46,0.01,2005,3791,4334,3182,13312
41,12-04-2016 00:00,12-04-2016 00:00,57,45,0.2,1045,2178,2762,2082,8067
42,13-04-2016 00:00,13-04-2016 00:00,57,39.9,0,2840,5395,5995,4192,18422
43,14-04-2016 00:00,14-04-2016 00:00,62.1,44.6,0,2861,5309,6030,4115,18315
44,15-04-2016 00:00,15-04-2016 00:00,64,44.1,0,2770,5072,5816,3912,17570
45,16-04-2016 00:00,16-04-2016 00:00,66,45,0,2384,4316,5624,4051,16375
46,17-04-2016 00:00,17-04-2016 00:00,73.9,46,0,3147,4969,5867,4197,18180
47,18-04-2016 00:00,18-04-2016 00:00,81,52,0,3871,6823,7432,4964,23090
48,19-04-2016 00:00,19-04-2016 00:00,71.1,63,0,3501,6951,7834,5032,23318
49,20-04-2016 00:00,20-04-2016 00:00,68,50,0,3450,6574,7639,4928,22591
50,21-04-2016 00:00,21-04-2016 00:00,71.1,50,0,3436,6452,7426,4813,22127
51,22-04-2016 00:00,22-04-2016 00:00,78.1,63,T,2975,4907,6093,3862,17837
52,23-04-2016 00:00,23-04-2016 00:00,70,61,0.16,2055,3276,4856,3239,13426
53,24-04-2016 00:00,24-04-2016 00:00,68,48,0,2798,4650,5335,3957,16740
54,25-04-2016 00:00,25-04-2016 00:00,66.9,54,0,3463,5978,6845,4564,20850
55,26-04-2016 00:00,26-04-2016 00:00,60.1,46.9,0.24,1997,3520,4559,2929,13005
56,27-04-2016 00:00,27-04-2016 00:00,62.1,46.9,0,3343,5606,6577,4388,19914
57,28-04-2016 00:00,28-04-2016 00:00,57.9,48,0,2486,4152,5336,3657,15631
58,29-04-2016 00:00,29-04-2016 00:00,57,46.9,0.05,2375,4178,5053,3348,14954
59,30-04-2016 00:00,30-04-2016 00:00,64,48,0,3199,4952,5675,3606,17432
60,01-04-2016 00:00,01-04-2016 00:00,78.1,66,0.01,1704,3126,4115,2552,11497
61,02-04-2016 00:00,02-04-2016 00:00,55,48.9,0.15,827,1646,2565,1884,6922
62,03-04-2016 00:00,03-04-2016 00:00,39.9,34,0.09,526,1232,1695,1306,4759
63,04-04-2016 00:00,04-04-2016 00:00,44.1,33.1,0.47 (S),521,1067,1440,1307,4335
64,05-04-2016 00:00,05-04-2016 00:00,42.1,26.1,0,1416,2617,3081,2357,9471
65,06-04-2016 00:00,06-04-2016 00:00,45,30,0,1885,3329,3856,2849,11919
66,07-04-2016 00:00,07-04-2016 00:00,57,53.1,0.09,1276,2581,3282,2457,9596
67,08-04-2016 00:00,08-04-2016 00:00,46.9,44.1,0.01,1982,3455,4113,3194,12744
68,09-04-2016 00:00,09-04-2016 00:00,43,37.9,0.09,504,997,1507,1502,4510
69,10-04-2016 00:00,10-04-2016 00:00,48.9,30.9,0,1447,2387,3132,2160,9126
70,11-04-2016 00:00,11-04-2016 00:00,62.1,46,0.01,2005,3791,4334,3182,13312
71,12-04-2016 00:00,12-04-2016 00:00,57,45,0.2,1045,2178,2762,2082,8067
72,13-04-2016 00:00,13-04-2016 00:00,57,39.9,0,2840,5395,5995,4192,18422
73,14-04-2016 00:00,14-04-2016 00:00,62.1,44.6,0,2861,5309,6030,4115,18315
74,15-04-2016 00:00,15-04-2016 00:00,64,44.1,0,2770,5072,5816,3912,17570
75,16-04-2016 00:00,16-04-2016 00:00,66,45,0,2384,4316,5624,4051,16375
76,17-04-2016 00:00,17-04-2016 00:00,73.9,46,0,3147,4969,5867,4197,18180
77,18-04-2016 00:00,18-04-2016 00:00,81,52,0,3871,6823,7432,4964,23090
78,19-04-2016 00:00,19-04-2016 00:00,71.1,63,0,3501,6951,7834,5032,23318
79,20-04-2016 00:00,20-04-2016 00:00,68,50,0,3450,6574,7639,4928,22591
80,21-04-2016 00:00,21-04-2016 00:00,71.1,50,0,3436,6452,7426,4813,22127
81,22-04-2016 00:00,22-04-2016 00:00,78.1,63,T,2975,4907,6093,3862,17837
82,23-04-2016 00:00,23-04-2016 00:00,70,61,0.16,2055,3276,4856,3239,13426
83,24-04-2016 00:00,24-04-2016 00:00,68,48,0,2798,4650,5335,3957,16740
84,25-04-2016 00:00,25-04-2016 00:00,66.9,54,0,3463,5978,6845,4564,20850
85,26-04-2016 00:00,26-04-2016 00:00,60.1,46.9,0.24,1997,3520,4559,2929,13005
86,27-04-2016 00:00,27-04-2016 00:00,62.1,46.9,0,3343,5606,6577,4388,19914
87,28-04-2016 00:00,28-04-2016 00:00,57.9,48,0,2486,4152,5336,3657,15631
88,29-04-2016 00:00,29-04-2016 00:00,57,46.9,0.05,2375,4178,5053,3348,14954
89,30-04-2016 00:00,30-04-2016 00:00,64,48,0,3199,4952,5675,3606,17432
90,01-04-2016 00:00,01-04-2016 00:00,78.1,66,0.01,1704,3126,4115,2552,11497
91,02-04-2016 00:00,02-04-2016 00:00,55,48.9,0.15,827,1646,2565,1884,6922
92,03-04-2016 00:00,03-04-2016 00:00,39.9,34,0.09,526,1232,1695,1306,4759
93,04-04-2016 00:00,04-04-2016 00:00,44.1,33.1,0.47 (S),521,1067,1440,1307,4335
94,05-04-2016 00:00,05-04-2016 00:00,42.1,26.1,0,1416,2617,3081,2357,9471
95,06-04-2016 00:00,06-04-2016 00:00,45,30,0,1885,3329,3856,2849,11919
96,07-04-2016 00:00,07-04-2016 00:00,57,53.1,0.09,1276,2581,3282,2457,9596
97,08-04-2016 00:00,08-04-2016 00:00,46.9,44.1,0.01,1982,3455,4113,3194,12744
98,09-04-2016 00:00,09-04-2016 00:00,43,37.9,0.09,504,997,1507,1502,4510
99,10-04-2016 00:00,10-04-2016 00:00,48.9,30.9,0,1447,2387,3132,2160,9126
100,11-04-2016 00:00,11-04-2016 00:00,62.1,46,0.01,2005,3791,4334,3182,13312
101,12-04-2016 00:00,12-04-2016 00:00,57,45,0.2,1045,2178,2762,2082,8067
102,13-04-2016 00:00,13-04-2016 00:00,57,39.9,0,2840,5395,5995,4192,18422
103,14-04-2016 00:00,14-04-2016 00:00,62.1,44.6,0,2861,5309,6030,4115,18315
104,15-04-2016 00:00,15-04-2016 00:00,64,44.1,0,2770,5072,5816,3912,17570
105,16-04-2016 00:00,16-04-2016 00:00,66,45,0,2384,4316,5624,4051,16375
106,17-04-2016 00:00,17-04-2016 00:00,73.9,46,0,3147,4969,5867,4197,18180
107,18-04-2016 00:00,18-04-2016 00:00,81,52,0,3871,6823,7432,4964,23090
108,19-04-2016 00:00,19-04-2016 00:00,71.1,63,0,3501,6951,7834,5032,23318
109,20-04-2016 00:00,20-04-2016 00:00,68,50,0,3450,6574,7639,4928,22591
110,21-04-2016 00:00,21-04-2016 00:00,71.1,50,0,3436,6452,7426,4813,22127
111,22-04-2016 00:00,22-04-2016 00:00,78.1,63,T,2975,4907,6093,3862,17837
112,23-04-2016 00:00,23-04-2016 00:00,70,61,0.16,2055,3276,4856,3239,13426
113,24-04-2016 00:00,24-04-2016 00:00,68,48,0,2798,4650,5335,3957,16740
114,25-04-2016 00:00,25-04-2016 00:00,66.9,54,0,3463,5978,6845,4564,20850
115,26-04-2016 00:00,26-04-2016 00:00,60.1,46.9,0.24,1997,3520,4559,2929,13005
116,27-04-2016 00:00,27-04-2016 00:00,62.1,46.9,0,3343,5606,6577,4388,19914
117,28-04-2016 00:00,28-04-2016 00:00,57.9,48,0,2486,4152,5336,3657,15631
118,29-04-2016 00:00,29-04-2016 00:00,57,46.9,0.05,2375,4178,5053,3348,14954
119,30-04-2016 00:00,30-04-2016 00:00,64,48,0,3199,4952,5675,3606,17432
120,01-04-2016 00:00,01-04-2016 00:00,78.1,66,0.01,1704,3126,4115,2552,11497
121,02-04-2016 00:00,02-04-2016 00:00,55,48.9,0.15,827,1646,2565,1884,6922
122,03-04-2016 00:00,03-04-2016 00:00,39.9,34,0.09,526,1232,1695,1306,4759
123,04-04-2016 00:00,04-04-2016 00:00,44.1,33.1,0.47 (S),521,1067,1440,1307,4335
124,05-04-2016 00:00,05-04-2016 00:00,42.1,26.1,0,1416,2617,3081,2357,9471
125,06-04-2016 00:00,06-04-2016 00:00,45,30,0,1885,3329,3856,2849,11919
126,07-04-2016 00:00,07-04-2016 00:00,57,53.1,0.09,1276,2581,3282,2457,9596
127,08-04-2016 00:00,08-04-2016 00:00,46.9,44.1,0.01,1982,3455,4113,3194,12744
128,09-04-2016 00:00,09-04-2016 00:00,43,37.9,0.09,504,997,1507,1502,4510
129,10-04-2016 00:00,10-04-2016 00:00,48.9,30.9,0,1447,2387,3132,2160,9126
130,11-04-2016 00:00,11-04-2016 00:00,62.1,46,0.01,2005,3791,4334,3182,13312
131,12-04-2016 00:00,12-04-2016 00:00,57,45,0.2,1045,2178,2762,2082,8067
132,13-04-2016 00:00,13-04-2016 00:00,57,39.9,0,2840,5395,5995,4192,18422
133,14-04-2016 00:00,14-04-2016 00:00,62.1,44.6,0,2861,5309,6030,4115,18315
134,15-04-2016 00:00,15-04-2016 00:00,64,44.1,0,2770,5072,5816,3912,17570
135,16-04-2016 00:00,16-04-2016 00:00,66,45,0,2384,4316,5624,4051,16375
136,17-04-2016 00:00,17-04-2016 00:00,73.9,46,0,3147,4969,5867,4197,18180
137,18-04-2016 00:00,18-04-2016 00:00,81,52,0,3871,6823,7432,4964,23090
138,19-04-2016 00:00,19-04-2016 00:00,71.1,63,0,3501,6951,7834,5032,23318
139,20-04-2016 00:00,20-04-2016 00:00,68,50,0,3450,6574,7639,4928,22591
140,21-04-2016 00:00,21-04-2016 00:00,71.1,50,0,3436,6452,7426,4813,22127
141,22-04-2016 00:00,22-04-2016 00:00,78.1,63,T,2975,4907,6093,3862,17837
142,23-04-2016 00:00,23-04-2016 00:00,70,61,0.16,2055,3276,4856,3239,13426
143,24-04-2016 00:00,24-04-2016 00:00,68,48,0,2798,4650,5335,3957,16740
144,25-04-2016 00:00,25-04-2016 00:00,66.9,54,0,3463,5978,6845,4564,20850
145,26-04-2016 00:00,26-04-2016 00:00,60.1,46.9,0.24,1997,3520,4559,2929,13005
146,27-04-2016 00:00,27-04-2016 00:00,62.1,46.9,0,3343,5606,6577,4388,19914
147,28-04-2016 00:00,28-04-2016 00:00,57.9,48,0,2486,4152,5336,3657,15631
148,29-04-2016 00:00,29-04-2016 00:00,57,46.9,0.05,2375,4178,5053,3348,14954
149,30-04-2016 00:00,30-04-2016 00:00,64,48,0,3199,4952,5675,3606,17432
150,01-04-2016 00:00,01-04-2016 00:00,78.1,66,0.01,1704,3126,4115,2552,11497
151,02-04-2016 00:00,02-04-2016 00:00,55,48.9,0.15,827,1646,2565,1884,6922
152,03-04-2016 00:00,03-04-2016 00:00,39.9,34,0.09,526,1232,1695,1306,4759
153,04-04-2016 00:00,04-04-2016 00:00,44.1,33.1,0.47 (S),521,1067,1440,1307,4335
154,05-04-2016 00:00,05-04-2016 00:00,42.1,26.1,0,1416,2617,3081,2357,9471
155,06-04-2016 00:00,06-04-2016 00:00,45,30,0,1885,3329,3856,2849,11919
156,07-04-2016 00:00,07-04-2016 00:00,57,53.1,0.09,1276,2581,3282,2457,9596
157,08-04-2016 00:00,08-04-2016 00:00,46.9,44.1,0.01,1982,3455,4113,3194,12744
158,09-04-2016 00:00,09-04-2016 00:00,43,37.9,0.09,504,997,1507,1502,4510
159,10-04-2016 00:00,10-04-2016 00:00,48.9,30.9,0,1447,2387,3132,2160,9126
160,11-04-2016 00:00,11-04-2016 00:00,62.1,46,0.01,2005,3791,4334,3182,13312
161,12-04-2016 00:00,12-04-2016 00:00,57,45,0.2,1045,2178,2762,2082,8067
162,13-04-2016 00:00,13-04-2016 00:00,57,39.9,0,2840,5395,5995,4192,18422
163,14-04-2016 00:00,14-04-2016 00:00,62.1,44.6,0,2861,5309,6030,4115,18315
164,15-04-2016 00:00,15-04-2016 00:00,64,44.1,0,2770,5072,5816,3912,17570
165,16-04-2016 00:00,16-04-2016 00:00,66,45,0,2384,4316,5624,4051,16375
166,17-04-2016 00:00,17-04-2016 00:00,73.9,46,0,3147,4969,5867,4197,18180
167,18-04-2016 00:00,18-04-2016 00:00,81,52,0,3871,6823,7432,4964,23090
168,19-04-2016 00:00,19-04-2016 00:00,71.1,63,0,3501,6951,7834,5032,23318
169,20-04-2016 00:00,20-04-2016 00:00,68,50,0,3450,6574,7639,4928,22591
170,21-04-2016 00:00,21-04-2016 00:00,71.1,50,0,3436,6452,7426,4813,22127
171,22-04-2016 00:00,22-04-2016 00:00,78.1,63,T,2975,4907,6093,3862,17837
172,23-04-2016 00:00,23-04-2016 00:00,70,61,0.16,2055,3276,4856,3239,13426
173,24-04-2016 00:00,24-04-2016 00:00,68,48,0,2798,4650,5335,3957,16740
174,25-04-2016 00:00,25-04-2016 00:00,66.9,54,0,3463,5978,6845,4564,20850
175,26-04-2016 00:00,26-04-2016 00:00,60.1,46.9,0.24,1997,3520,4559,2929,13005
176,27-04-2016 00:00,27-04-2016 00:00,62.1,46.9,0,3343,5606,6577,4388,19914
177,28-04-2016 00:00,28-04-2016 00:00,57.9,48,0,2486,4152,5336,3657,15631
178,29-04-2016 00:00,29-04-2016 00:00,57,46.9,0.05,2375,4178,5053,3348,14954
179,30-04-2016 00:00,30-04-2016 00:00,64,48,0,3199,4952,5675,3606,17432
180,01-04-2016 00:00,01-04-2016 00:00,78.1,66,0.01,1704,3126,4115,2552,11497
181,02-04-2016 00:00,02-04-2016 00:00,55,48.9,0.15,827,1646,2565,1884,6922
182,03-04-2016 00:00,03-04-2016 00:00,39.9,34,0.09,526,1232,1695,1306,4759
183,04-04-2016 00:00,04-04-2016 00:00,44.1,33.1,0.47 (S),521,1067,1440,1307,4335
184,05-04-2016 00:00,05-04-2016 00:00,42.1,26.1,0,1416,2617,3081,2357,9471
185,06-04-2016 00:00,06-04-2016 00:00,45,30,0,1885,3329,3856,2849,11919
186,07-04-2016 00:00,07-04-2016 00:00,57,53.1,0.09,1276,2581,3282,2457,9596
187,08-04-2016 00:00,08-04-2016 00:00,46.9,44.1,0.01,1982,3455,4113,3194,12744
188,09-04-2016 00:00,09-04-2016 00:00,43,37.9,0.09,504,997,1507,1502,4510
189,10-04-2016 00:00,10-04-2016 00:00,48.9,30.9,0,1447,2387,3132,2160,9126
190,11-04-2016 00:00,11-04-2016 00:00,62.1,46,0.01,2005,3791,4334,3182,13312
191,12-04-2016 00:00,12-04-2016 00:00,57,45,0.2,1045,2178,2762,2082,8067
192,13-04-2016 00:00,13-04-2016 00:00,57,39.9,0,2840,5395,5995,4192,18422
193,14-04-2016 00:00,14-04-2016 00:00,62.1,44.6,0,2861,5309,6030,4115,18315
194,15-04-2016 00:00,15-04-2016 00:00,64,44.1,0,2770,5072,5816,3912,17570
195,16-04-2016 00:00,16-04-2016 00:00,66,45,0,2384,4316,5624,4051,16375
196,17-04-2016 00:00,17-04-2016 00:00,73.9,46,0,3147,4969,5867,4197,18180
197,18-04-2016 00:00,18-04-2016 00:00,81,52,0,3871,6823,7432,4964,23090
198,19-04-2016 00:00,19-04-2016 00:00,71.1,63,0,3501,6951,7834,5032,23318
199,20-04-2016 00:00,20-04-2016 00:00,68,50,0,3450,6574,7639,4928,22591
200,21-04-2016 00:00,21-04-2016 00:00,71.1,50,0,3436,6452,7426,4813,22127
201,22-04-2016 00:00,22-04-2016 00:00,78.1,63,T,2975,4907,6093,3862,17837
202,23-04-2016 00:00,23-04-2016 00:00,70,61,0.16,2055,3276,4856,3239,13426
203,24-04-2016 00:00,24-04-2016 00:00,68,48,0,2798,4650,5335,3957,16740
204,25-04-2016 00:00,25-04-2016 00:00,66.9,54,0,3463,5978,6845,4564,20850
205,26-04-2016 00:00,26-04-2016 00:00,60.1,46.9,0.24,1997,3520,4559,2929,13005
206,27-04-2016 00:00,27-04-2016 00:00,62.1,46.9,0,3343,5606,6577,4388,19914
207,28-04-2016 00:00,28-04-2016 00:00,57.9,48,0,2486,4152,5336,3657,15631
208,29-04-2016 00:00,29-04-2016 00:00,57,46.9,0.05,2375,4178,5053,3348,14954
209,30-04-2016 00:00,30-04-2016 00:00,64,48,0,3199,4952,5675,3606,17432
